Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation  [sfc];Snowfall amount raw  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2018;09;07;00;00;14.65;94.00;1013.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.71;352.87;11.90;356.53;13.90;163.44;14.76
2018;09;07;01;00;14.19;93.00;1014.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.56;360.00;5.35;19.65;14.24;163.86;19.80
2018;09;07;02;00;13.86;92.00;1013.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.45;7.59;6.11;315.00;12.90;157.01;13.32
2018;09;07;03;00;13.45;97.00;1012.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.40;32.01;5.01;291.04;12.30;159.44;8.64
2018;09;07;04;00;13.38;98.00;1012.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.41;26.57;3.96;270.00;11.63;158.20;6.48
2018;09;07;05;00;12.96;100.00;1012.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.90;352.87;3.67;281.31;11.30;149.35;7.56
2018;09;07;06;00;12.60;99.00;1012.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.67;348.69;4.20;329.04;11.75;139.97;9.00
2018;09;07;07;00;12.57;99.00;1012.80;0.00;0.00;0.00;0.00;0.00;0.00;51.95;0.00;3.62;354.29;3.62;354.29;12.39;144.46;8.28
2018;09;07;08;00;14.26;91.00;1012.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;47.17;3.26;353.66;2.19;350.54;12.54;140.83;10.08
2018;09;07;09;00;17.67;74.00;1012.60;0.00;0.00;0.00;0.00;0.00;0.00;60.00;231.40;1.80;323.13;2.10;329.04;11.89;144.87;9.72
2018;09;07;10;00;20.86;59.00;1013.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;421.86;7.63;289.29;8.85;296.57;10.97;156.80;10.08
2018;09;07;11;00;22.85;53.00;1012.60;0.00;0.00;0.00;0.00;0.00;0.00;60.00;586.51;13.32;270.00;14.21;278.75;7.86;164.05;13.32
2018;09;07;12;00;22.99;57.00;1012.60;0.00;0.00;15.00;0.00;0.00;15.00;50.43;716.45;17.32;249.30;17.42;251.94;4.02;190.30;18.36
2018;09;07;13;00;23.20;62.00;1013.10;0.00;0.00;33.00;0.00;33.00;6.00;38.94;785.87;16.80;225.00;16.81;223.26;6.48;90.00;13.32
2018;09;07;14;00;25.48;51.00;1012.30;0.00;0.00;44.00;0.00;44.00;0.00;31.91;808.12;15.19;238.57;14.19;234.29;1.80;36.87;15.84
2018;09;07;15;00;26.69;45.00;1011.90;0.00;0.00;0.00;0.00;0.00;0.00;60.00;793.88;20.28;286.50;20.12;296.57;9.69;285.07;20.52
2018;09;07;16;00;25.65;46.00;1011.60;0.00;0.00;0.00;0.00;0.00;0.00;60.00;725.35;23.01;290.14;22.93;292.14;10.39;284.04;20.88
2018;09;07;17;00;24.76;48.00;1011.90;0.00;0.00;0.00;0.00;0.00;0.00;60.00;599.86;24.15;296.57;25.14;299.13;8.29;272.49;20.16
2018;09;07;18;00;23.42;53.00;1011.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;436.10;24.07;304.64;26.50;306.71;6.95;248.75;20.16
